Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,1uF,
"C13, C14",0603,2,10uF,
"C15, C16",0402,2,33pF,
"C17, C2, C3, C4, C5, C6, C7, C8, C9",0402,9,0.1uF,
"D1, D4, D5",0201,3,LED,
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,
"J2, J3",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,
J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
J6,Hirose_DF13-02P-1.25DSA_1x02_P1.25mm_Vertical,1,Conn_01x02_Pin,
"R1, R2",0603,2,33 R,
"R10, R12, R13",0603,3,1K,
"R3, R4",0603,2,50K,
"R5, R6",0402,2,1K,
R7,0402,1,10K,
"R8, R9",0402,2,27,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOT-23,1,MCP1700x-330xxTT,
U4,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q16JVUXIQ TR,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz,
