Designator,Mid X,Mid Y,Rotation,Layer
C1,166.03,-88.92,0.0,top
C13,167.67,-112.1,180.0,top
C14,165.04,-114.655,90.0,top
C15,164.19,-102.08,90.0,top
C16,158.84,-101.9,270.0,top
C17,161.18,-82.69,90.0,top
C2,166.06,-89.97,0.0,top
C3,166.05,-91.04,0.0,top
C4,168.36,-96.73,0.0,top
C5,169.38,-95.63,0.0,top
C6,167.43,-95.63,0.0,top
C7,165.61,-118.78,0.0,top
C8,165.6,-117.76,0.0,top
C9,165.59,-116.77,0.0,top
D1,158.95,-114.5,0.0,top
D4,159.045,-111.07,0.0,top
D5,159.0575,-112.93,0.0,top
J1,161.07,-124.875,0.0,top
J2,147.18,-101.19,0.0,top
J3,175.0,-101.005,0.0,top
J4,161.0,-77.0,270.0,top
J6,152.105,-124.64,0.0,top
R1,160.33,-118.6725,90.0,top
R10,161.505,-114.52,180.0,top
R12,161.79,-111.11,180.0,top
R13,161.805,-112.91,180.0,top
R2,161.83,-118.6625,90.0,top
R3,158.88,-118.615,90.0,top
R4,163.3,-118.675,90.0,top
R5,157.8,-101.92,90.0,top
R6,157.95,-80.98,90.0,top
R7,158.51,-82.64,0.0,top
R8,161.87,-89.16,270.0,top
R9,162.97,-89.16,270.0,top
SW1,154.46,-80.52,0.0,top
U1,161.17,-94.65,90.0,top
U2,167.815,-114.65,180.0,top
U4,158.155,-84.68,0.0,top
Y1,161.47,-102.28,0.0,top
